demarcation_code,financial_year,item_code,item_label,amount,id
NMA,2012,unauthorised,Unauthorised Expenditure,318698000,1
NMA,2012,irregular,Irregular Expenditure,233903000,2
NMA,2012,fruitless,Fruitless and Wasteful Expenditure,4570000,3
BUF,2012,unauthorised,Unauthorised Expenditure,163847000,4
BUF,2012,irregular,Irregular Expenditure,934000,5
BUF,2012,fruitless,Fruitless and Wasteful Expenditure,164781000,6
EC101,2012,unauthorised,Unauthorised Expenditure,,7
EC101,2012,irregular,Irregular Expenditure,,8
EC101,2012,fruitless,Fruitless and Wasteful Expenditure,,9
EC102,2012,unauthorised,Unauthorised Expenditure,13000000,10
EC102,2012,irregular,Irregular Expenditure,1810000,11
EC102,2012,fruitless,Fruitless and Wasteful Expenditure,12000,12
EC103,2012,unauthorised,Unauthorised Expenditure,8306000,13
EC103,2012,irregular,Irregular Expenditure,9513000,14
EC103,2012,fruitless,Fruitless and Wasteful Expenditure,150000,15
EC104,2012,unauthorised,Unauthorised Expenditure,,16
EC104,2012,irregular,Irregular Expenditure,5800000,17
EC104,2012,fruitless,Fruitless and Wasteful Expenditure,,18
EC105,2012,unauthorised,Unauthorised Expenditure,12026000,19
EC105,2012,irregular,Irregular Expenditure,69824000,20
EC105,2012,fruitless,Fruitless and Wasteful Expenditure,62000,21
EC106,2012,unauthorised,Unauthorised Expenditure,11909000,22
EC106,2012,irregular,Irregular Expenditure,11627000,23
EC106,2012,fruitless,Fruitless and Wasteful Expenditure,299000,24
EC107,2012,unauthorised,Unauthorised Expenditure,9913000,25
EC107,2012,irregular,Irregular Expenditure,695000,26
EC107,2012,fruitless,Fruitless and Wasteful Expenditure,359000,27
EC108,2012,unauthorised,Unauthorised Expenditure,123198000,28
EC108,2012,irregular,Irregular Expenditure,15967000,29
EC108,2012,fruitless,Fruitless and Wasteful Expenditure,9301000,30
EC109,2012,unauthorised,Unauthorised Expenditure,39154000,31
EC109,2012,irregular,Irregular Expenditure,,32
EC109,2012,fruitless,Fruitless and Wasteful Expenditure,1026000,33
DC10,2012,unauthorised,Unauthorised Expenditure,,34
DC10,2012,irregular,Irregular Expenditure,14781000,35
DC10,2012,fruitless,Fruitless and Wasteful Expenditure,35000,36
EC121,2012,unauthorised,Unauthorised Expenditure,0,37
EC121,2012,irregular,Irregular Expenditure,0,38
EC121,2012,fruitless,Fruitless and Wasteful Expenditure,0,39
EC122,2012,unauthorised,Unauthorised Expenditure,15383000,40
EC122,2012,irregular,Irregular Expenditure,1158000,41
EC122,2012,fruitless,Fruitless and Wasteful Expenditure,1369000,42
EC123,2012,unauthorised,Unauthorised Expenditure,1459000,43
EC123,2012,irregular,Irregular Expenditure,6020000,44
EC123,2012,fruitless,Fruitless and Wasteful Expenditure,113581000,45
EC124,2012,unauthorised,Unauthorised Expenditure,0,46
EC124,2012,irregular,Irregular Expenditure,0,47
EC124,2012,fruitless,Fruitless and Wasteful Expenditure,0,48
EC126,2012,unauthorised,Unauthorised Expenditure,0,49
EC126,2012,irregular,Irregular Expenditure,39954000,50
EC126,2012,fruitless,Fruitless and Wasteful Expenditure,37477000,51
EC127,2012,unauthorised,Unauthorised Expenditure,148000,52
EC127,2012,irregular,Irregular Expenditure,1808000,53
EC127,2012,fruitless,Fruitless and Wasteful Expenditure,15000,54
EC128,2012,unauthorised,Unauthorised Expenditure,0,55
EC128,2012,irregular,Irregular Expenditure,117000,56
EC128,2012,fruitless,Fruitless and Wasteful Expenditure,897000,57
DC12,2012,unauthorised,Unauthorised Expenditure,0,58
DC12,2012,irregular,Irregular Expenditure,0,59
DC12,2012,fruitless,Fruitless and Wasteful Expenditure,0,60
EC131,2012,unauthorised,Unauthorised Expenditure,0,61
EC131,2012,irregular,Irregular Expenditure,3500000,62
EC131,2012,fruitless,Fruitless and Wasteful Expenditure,0,63
EC132,2012,unauthorised,Unauthorised Expenditure,8000000,64
EC132,2012,irregular,Irregular Expenditure,6600000,65
EC132,2012,fruitless,Fruitless and Wasteful Expenditure,0,66
EC133,2012,unauthorised,Unauthorised Expenditure,12370000,67
EC133,2012,irregular,Irregular Expenditure,5547000,68
EC133,2012,fruitless,Fruitless and Wasteful Expenditure,0,69
EC134,2012,unauthorised,Unauthorised Expenditure,0,70
EC134,2012,irregular,Irregular Expenditure,16000000,71
EC134,2012,fruitless,Fruitless and Wasteful Expenditure,0,72
EC135,2012,unauthorised,Unauthorised Expenditure,117200000,73
EC135,2012,irregular,Irregular Expenditure,31700000,74
EC135,2012,fruitless,Fruitless and Wasteful Expenditure,620000,75
EC136,2012,unauthorised,Unauthorised Expenditure,78900000,76
EC136,2012,irregular,Irregular Expenditure,5500000,77
EC136,2012,fruitless,Fruitless and Wasteful Expenditure,455000,78
EC137,2012,unauthorised,Unauthorised Expenditure,36600000,79
EC137,2012,irregular,Irregular Expenditure,48900000,80
EC137,2012,fruitless,Fruitless and Wasteful Expenditure,3300000,81
EC138,2012,unauthorised,Unauthorised Expenditure,10400000,82
EC138,2012,irregular,Irregular Expenditure,16100000,83
EC138,2012,fruitless,Fruitless and Wasteful Expenditure,0,84
DC13,2012,unauthorised,Unauthorised Expenditure,56400000,85
DC13,2012,irregular,Irregular Expenditure,199500000,86
DC13,2012,fruitless,Fruitless and Wasteful Expenditure,0,87
EC141,2012,unauthorised,Unauthorised Expenditure,33865000,88
EC141,2012,irregular,Irregular Expenditure,687000,89
EC141,2012,fruitless,Fruitless and Wasteful Expenditure,29000,90
EC142,2012,unauthorised,Unauthorised Expenditure,,91
EC142,2012,irregular,Irregular Expenditure,1466000,92
EC142,2012,fruitless,Fruitless and Wasteful Expenditure,743000,93
EC143,2012,unauthorised,Unauthorised Expenditure,28434000,94
EC143,2012,irregular,Irregular Expenditure,10184000,95
EC143,2012,fruitless,Fruitless and Wasteful Expenditure,238000,96
EC144,2012,unauthorised,Unauthorised Expenditure,75087000,97
EC144,2012,irregular,Irregular Expenditure,6840000,98
EC144,2012,fruitless,Fruitless and Wasteful Expenditure,1572000,99
DC14,2012,unauthorised,Unauthorised Expenditure,,100
DC14,2012,irregular,Irregular Expenditure,13362000,101
DC14,2012,fruitless,Fruitless and Wasteful Expenditure,746000,102
EC153,2012,unauthorised,Unauthorised Expenditure,0,103
EC153,2012,irregular,Irregular Expenditure,0,104
EC153,2012,fruitless,Fruitless and Wasteful Expenditure,0,105
EC154,2012,unauthorised,Unauthorised Expenditure,0,106
EC154,2012,irregular,Irregular Expenditure,0,107
EC154,2012,fruitless,Fruitless and Wasteful Expenditure,0,108
EC155,2012,unauthorised,Unauthorised Expenditure,18931000,109
EC155,2012,irregular,Irregular Expenditure,3438000,110
EC155,2012,fruitless,Fruitless and Wasteful Expenditure,925000,111
EC156,2012,unauthorised,Unauthorised Expenditure,0,112
EC156,2012,irregular,Irregular Expenditure,0,113
EC156,2012,fruitless,Fruitless and Wasteful Expenditure,0,114
EC157,2012,unauthorised,Unauthorised Expenditure,16068000,115
EC157,2012,irregular,Irregular Expenditure,16561000,116
EC157,2012,fruitless,Fruitless and Wasteful Expenditure,870000,117
DC15,2012,unauthorised,Unauthorised Expenditure,0,118
DC15,2012,irregular,Irregular Expenditure,183969448000,119
DC15,2012,fruitless,Fruitless and Wasteful Expenditure,0,120
EC441,2012,unauthorised,Unauthorised Expenditure,0,121
EC441,2012,irregular,Irregular Expenditure,525000,122
EC441,2012,fruitless,Fruitless and Wasteful Expenditure,167000,123
EC442,2012,unauthorised,Unauthorised Expenditure,0,124
EC442,2012,irregular,Irregular Expenditure,0,125
EC442,2012,fruitless,Fruitless and Wasteful Expenditure,14000,126
EC443,2012,unauthorised,Unauthorised Expenditure,0,127
EC443,2012,irregular,Irregular Expenditure,4600000,128
EC443,2012,fruitless,Fruitless and Wasteful Expenditure,0,129
EC444,2012,unauthorised,Unauthorised Expenditure,4291000,130
EC444,2012,irregular,Irregular Expenditure,5752000,131
EC444,2012,fruitless,Fruitless and Wasteful Expenditure,0,132
DC44,2012,unauthorised,Unauthorised Expenditure,0,133
DC44,2012,irregular,Irregular Expenditure,34235000,134
DC44,2012,fruitless,Fruitless and Wasteful Expenditure,108000,135
MAN,2012,unauthorised,Unauthorised Expenditure,374968000,136
MAN,2012,irregular,Irregular Expenditure,403627000,137
MAN,2012,fruitless,Fruitless and Wasteful Expenditure,79715000,138
FS161,2012,unauthorised,Unauthorised Expenditure,33110000,139
FS161,2012,irregular,Irregular Expenditure,9508000,140
FS161,2012,fruitless,Fruitless and Wasteful Expenditure,542000,141
FS162,2012,unauthorised,Unauthorised Expenditure,65714000,142
FS162,2012,irregular,Irregular Expenditure,59760000,143
FS162,2012,fruitless,Fruitless and Wasteful Expenditure,3328000,144
FS163,2012,unauthorised,Unauthorised Expenditure,43861000,145
FS163,2012,irregular,Irregular Expenditure,21997000,146
FS163,2012,fruitless,Fruitless and Wasteful Expenditure,277000,147
FS164,2012,unauthorised,Unauthorised Expenditure,29913000,148
FS164,2012,irregular,Irregular Expenditure,,149
FS164,2012,fruitless,Fruitless and Wasteful Expenditure,,150
DC16,2012,unauthorised,Unauthorised Expenditure,1525000,151
DC16,2012,irregular,Irregular Expenditure,10466000,152
DC16,2012,fruitless,Fruitless and Wasteful Expenditure,41000,153
FS181,2012,unauthorised,Unauthorised Expenditure,519744000,154
FS181,2012,irregular,Irregular Expenditure,54769000,155
FS181,2012,fruitless,Fruitless and Wasteful Expenditure,849000,156
FS182,2012,unauthorised,Unauthorised Expenditure,36222000,157
FS182,2012,irregular,Irregular Expenditure,5154000,158
FS182,2012,fruitless,Fruitless and Wasteful Expenditure,596000,159
FS183,2012,unauthorised,Unauthorised Expenditure,1914000,160
FS183,2012,irregular,Irregular Expenditure,1000,161
FS183,2012,fruitless,Fruitless and Wasteful Expenditure,2077000,162
FS184,2012,unauthorised,Unauthorised Expenditure,1075759000,163
FS184,2012,irregular,Irregular Expenditure,160377000,164
FS184,2012,fruitless,Fruitless and Wasteful Expenditure,76392000,165
FS185,2012,unauthorised,Unauthorised Expenditure,0,166
FS185,2012,irregular,Irregular Expenditure,0,167
FS185,2012,fruitless,Fruitless and Wasteful Expenditure,0,168
DC18,2012,unauthorised,Unauthorised Expenditure,228000,169
DC18,2012,irregular,Irregular Expenditure,13516000,170
DC18,2012,fruitless,Fruitless and Wasteful Expenditure,2000,171
FS191,2012,unauthorised,Unauthorised Expenditure,3486000,172
FS191,2012,irregular,Irregular Expenditure,15347000,173
FS191,2012,fruitless,Fruitless and Wasteful Expenditure,134000,174
FS192,2012,unauthorised,Unauthorised Expenditure,,175
FS192,2012,irregular,Irregular Expenditure,60386000,176
FS192,2012,fruitless,Fruitless and Wasteful Expenditure,9857000,177
FS193,2012,unauthorised,Unauthorised Expenditure,21430000,178
FS193,2012,irregular,Irregular Expenditure,8628000,179
FS193,2012,fruitless,Fruitless and Wasteful Expenditure,60000,180
FS194,2012,unauthorised,Unauthorised Expenditure,,181
FS194,2012,irregular,Irregular Expenditure,4244000,182
FS194,2012,fruitless,Fruitless and Wasteful Expenditure,4037000,183
FS195,2012,unauthorised,Unauthorised Expenditure,20792000,184
FS195,2012,irregular,Irregular Expenditure,40037000,185
FS195,2012,fruitless,Fruitless and Wasteful Expenditure,504000,186
FS196,2012,unauthorised,Unauthorised Expenditure,3853000,187
FS196,2012,irregular,Irregular Expenditure,9853000,188
FS196,2012,fruitless,Fruitless and Wasteful Expenditure,292000,189
DC19,2012,unauthorised,Unauthorised Expenditure,,190
DC19,2012,irregular,Irregular Expenditure,3141000,191
DC19,2012,fruitless,Fruitless and Wasteful Expenditure,60000,192
FS201,2012,unauthorised,Unauthorised Expenditure,52253000,193
FS201,2012,irregular,Irregular Expenditure,,194
FS201,2012,fruitless,Fruitless and Wasteful Expenditure,13022000,195
FS203,2012,unauthorised,Unauthorised Expenditure,,196
FS203,2012,irregular,Irregular Expenditure,,197
FS203,2012,fruitless,Fruitless and Wasteful Expenditure,13284000,198
FS204,2012,unauthorised,Unauthorised Expenditure,6174000,199
FS204,2012,irregular,Irregular Expenditure,66225000,200
FS204,2012,fruitless,Fruitless and Wasteful Expenditure,1035000,201
FS205,2012,unauthorised,Unauthorised Expenditure,,202
FS205,2012,irregular,Irregular Expenditure,29024000,203
FS205,2012,fruitless,Fruitless and Wasteful Expenditure,7115000,204
DC20,2012,unauthorised,Unauthorised Expenditure,273000,205
DC20,2012,irregular,Irregular Expenditure,483000,206
DC20,2012,fruitless,Fruitless and Wasteful Expenditure,5000,207
EKU,2012,unauthorised,Unauthorised Expenditure,0,208
EKU,2012,irregular,Irregular Expenditure,229280000,209
EKU,2012,fruitless,Fruitless and Wasteful Expenditure,74638000,210
JHB,2012,unauthorised,Unauthorised Expenditure,317949000,211
JHB,2012,irregular,Irregular Expenditure,679706000,212
JHB,2012,fruitless,Fruitless and Wasteful Expenditure,8720000,213
TSH,2012,unauthorised,Unauthorised Expenditure,488022000,214
TSH,2012,irregular,Irregular Expenditure,260324000,215
TSH,2012,fruitless,Fruitless and Wasteful Expenditure,15794000,216
GT421,2012,unauthorised,Unauthorised Expenditure,,217
GT421,2012,irregular,Irregular Expenditure,4118000,218
GT421,2012,fruitless,Fruitless and Wasteful Expenditure,2366000,219
GT422,2012,unauthorised,Unauthorised Expenditure,,220
GT422,2012,irregular,Irregular Expenditure,,221
GT422,2012,fruitless,Fruitless and Wasteful Expenditure,,222
GT423,2012,unauthorised,Unauthorised Expenditure,,223
GT423,2012,irregular,Irregular Expenditure,7457000,224
GT423,2012,fruitless,Fruitless and Wasteful Expenditure,89000,225
DC42,2012,unauthorised,Unauthorised Expenditure,,226
DC42,2012,irregular,Irregular Expenditure,,227
DC42,2012,fruitless,Fruitless and Wasteful Expenditure,,228
GT481,2012,unauthorised,Unauthorised Expenditure,49377000,229
GT481,2012,irregular,Irregular Expenditure,42249000,230
GT481,2012,fruitless,Fruitless and Wasteful Expenditure,4215000,231
GT482,2012,unauthorised,Unauthorised Expenditure,22141000,232
GT482,2012,irregular,Irregular Expenditure,17540000,233
GT482,2012,fruitless,Fruitless and Wasteful Expenditure,4224000,234
GT483,2012,unauthorised,Unauthorised Expenditure,16442000,235
GT483,2012,irregular,Irregular Expenditure,11928000,236
GT483,2012,fruitless,Fruitless and Wasteful Expenditure,,237
GT484,2012,unauthorised,Unauthorised Expenditure,,238
GT484,2012,irregular,Irregular Expenditure,,239
GT484,2012,fruitless,Fruitless and Wasteful Expenditure,2388000,240
DC48,2012,unauthorised,Unauthorised Expenditure,,241
DC48,2012,irregular,Irregular Expenditure,5475000,242
DC48,2012,fruitless,Fruitless and Wasteful Expenditure,22485000,243
ETH,2012,unauthorised,Unauthorised Expenditure,0,244
ETH,2012,irregular,Irregular Expenditure,785002000,245
ETH,2012,fruitless,Fruitless and Wasteful Expenditure,0,246
KZN211,2012,unauthorised,Unauthorised Expenditure,0,247
KZN211,2012,irregular,Irregular Expenditure,10721000,248
KZN211,2012,fruitless,Fruitless and Wasteful Expenditure,0,249
KZN212,2012,unauthorised,Unauthorised Expenditure,9582000,250
KZN212,2012,irregular,Irregular Expenditure,1137000,251
KZN212,2012,fruitless,Fruitless and Wasteful Expenditure,1282000,252
KZN213,2012,unauthorised,Unauthorised Expenditure,2379000,253
KZN213,2012,irregular,Irregular Expenditure,7388000,254
KZN213,2012,fruitless,Fruitless and Wasteful Expenditure,15000,255
KZN214,2012,unauthorised,Unauthorised Expenditure,13062000,256
KZN214,2012,irregular,Irregular Expenditure,3254000,257
KZN214,2012,fruitless,Fruitless and Wasteful Expenditure,8000,258
KZN215,2012,unauthorised,Unauthorised Expenditure,3137000,259
KZN215,2012,irregular,Irregular Expenditure,272000,260
KZN215,2012,fruitless,Fruitless and Wasteful Expenditure,0,261
KZN216,2012,unauthorised,Unauthorised Expenditure,50860000,262
KZN216,2012,irregular,Irregular Expenditure,7245000,263
KZN216,2012,fruitless,Fruitless and Wasteful Expenditure,19000,264
DC21,2012,unauthorised,Unauthorised Expenditure,0,265
DC21,2012,irregular,Irregular Expenditure,17604000,266
DC21,2012,fruitless,Fruitless and Wasteful Expenditure,1219000,267
KZN221,2012,unauthorised,Unauthorised Expenditure,,268
KZN221,2012,irregular,Irregular Expenditure,356000,269
KZN221,2012,fruitless,Fruitless and Wasteful Expenditure,,270
KZN222,2012,unauthorised,Unauthorised Expenditure,,271
KZN222,2012,irregular,Irregular Expenditure,,272
KZN222,2012,fruitless,Fruitless and Wasteful Expenditure,,273
KZN223,2012,unauthorised,Unauthorised Expenditure,,274
KZN223,2012,irregular,Irregular Expenditure,,275
KZN223,2012,fruitless,Fruitless and Wasteful Expenditure,,276
KZN224,2012,unauthorised,Unauthorised Expenditure,0,277
KZN224,2012,irregular,Irregular Expenditure,712000,278
KZN224,2012,fruitless,Fruitless and Wasteful Expenditure,65000,279
KZN225,2012,unauthorised,Unauthorised Expenditure,27164000,280
KZN225,2012,irregular,Irregular Expenditure,3159000,281
KZN225,2012,fruitless,Fruitless and Wasteful Expenditure,102000,282
KZN226,2012,unauthorised,Unauthorised Expenditure,0,283
KZN226,2012,irregular,Irregular Expenditure,781000,284
KZN226,2012,fruitless,Fruitless and Wasteful Expenditure,0,285
KZN227,2012,unauthorised,Unauthorised Expenditure,15000,286
KZN227,2012,irregular,Irregular Expenditure,0,287
KZN227,2012,fruitless,Fruitless and Wasteful Expenditure,19000,288
DC22,2012,unauthorised,Unauthorised Expenditure,0,289
DC22,2012,irregular,Irregular Expenditure,122000,290
DC22,2012,fruitless,Fruitless and Wasteful Expenditure,123000,291
KZN232,2012,unauthorised,Unauthorised Expenditure,0,292
KZN232,2012,irregular,Irregular Expenditure,11889000,293
KZN232,2012,fruitless,Fruitless and Wasteful Expenditure,118000,294
KZN233,2012,unauthorised,Unauthorised Expenditure,5875000,295
KZN233,2012,irregular,Irregular Expenditure,38000,296
KZN233,2012,fruitless,Fruitless and Wasteful Expenditure,3549000,297
KZN234,2012,unauthorised,Unauthorised Expenditure,,298
KZN234,2012,irregular,Irregular Expenditure,,299
KZN234,2012,fruitless,Fruitless and Wasteful Expenditure,,300
KZN235,2012,unauthorised,Unauthorised Expenditure,371000,301
KZN235,2012,irregular,Irregular Expenditure,19663000,302
KZN235,2012,fruitless,Fruitless and Wasteful Expenditure,30000,303
KZN236,2012,unauthorised,Unauthorised Expenditure,0,304
KZN236,2012,irregular,Irregular Expenditure,0,305
KZN236,2012,fruitless,Fruitless and Wasteful Expenditure,9000,306
DC23,2012,unauthorised,Unauthorised Expenditure,8373000,307
DC23,2012,irregular,Irregular Expenditure,654000,308
DC23,2012,fruitless,Fruitless and Wasteful Expenditure,1059000,309
KZN241,2012,unauthorised,Unauthorised Expenditure,7307000,310
KZN241,2012,irregular,Irregular Expenditure,341000,311
KZN241,2012,fruitless,Fruitless and Wasteful Expenditure,0,312
KZN242,2012,unauthorised,Unauthorised Expenditure,377000,313
KZN242,2012,irregular,Irregular Expenditure,3101000,314
KZN242,2012,fruitless,Fruitless and Wasteful Expenditure,30000,315
KZN244,2012,unauthorised,Unauthorised Expenditure,8489000,316
KZN244,2012,irregular,Irregular Expenditure,50000,317
KZN244,2012,fruitless,Fruitless and Wasteful Expenditure,0,318
KZN245,2012,unauthorised,Unauthorised Expenditure,,319
KZN245,2012,irregular,Irregular Expenditure,,320
KZN245,2012,fruitless,Fruitless and Wasteful Expenditure,,321
DC24,2012,unauthorised,Unauthorised Expenditure,0,322
DC24,2012,irregular,Irregular Expenditure,2282000,323
DC24,2012,fruitless,Fruitless and Wasteful Expenditure,0,324
KZN252,2012,unauthorised,Unauthorised Expenditure,0,325
KZN252,2012,irregular,Irregular Expenditure,14690000,326
KZN252,2012,fruitless,Fruitless and Wasteful Expenditure,1216000,327
KZN253,2012,unauthorised,Unauthorised Expenditure,0,328
KZN253,2012,irregular,Irregular Expenditure,0,329
KZN253,2012,fruitless,Fruitless and Wasteful Expenditure,62000,330
KZN254,2012,unauthorised,Unauthorised Expenditure,,331
KZN254,2012,irregular,Irregular Expenditure,,332
KZN254,2012,fruitless,Fruitless and Wasteful Expenditure,,333
DC25,2012,unauthorised,Unauthorised Expenditure,32907000,334
DC25,2012,irregular,Irregular Expenditure,17154000,335
DC25,2012,fruitless,Fruitless and Wasteful Expenditure,32000,336
KZN261,2012,unauthorised,Unauthorised Expenditure,17972000,337
KZN261,2012,irregular,Irregular Expenditure,44831000,338
KZN261,2012,fruitless,Fruitless and Wasteful Expenditure,220000,339
KZN262,2012,unauthorised,Unauthorised Expenditure,52000,340
KZN262,2012,irregular,Irregular Expenditure,7694000,341
KZN262,2012,fruitless,Fruitless and Wasteful Expenditure,1306000,342
KZN263,2012,unauthorised,Unauthorised Expenditure,19173000,343
KZN263,2012,irregular,Irregular Expenditure,15004000,344
KZN263,2012,fruitless,Fruitless and Wasteful Expenditure,618000,345
KZN265,2012,unauthorised,Unauthorised Expenditure,12729000,346
KZN265,2012,irregular,Irregular Expenditure,24883000,347
KZN265,2012,fruitless,Fruitless and Wasteful Expenditure,0,348
KZN266,2012,unauthorised,Unauthorised Expenditure,7506000,349
KZN266,2012,irregular,Irregular Expenditure,0,350
KZN266,2012,fruitless,Fruitless and Wasteful Expenditure,8759000,351
DC26,2012,unauthorised,Unauthorised Expenditure,0,352
DC26,2012,irregular,Irregular Expenditure,11448000,353
DC26,2012,fruitless,Fruitless and Wasteful Expenditure,20000,354
KZN271,2012,unauthorised,Unauthorised Expenditure,1630000,355
KZN271,2012,irregular,Irregular Expenditure,14696000,356
KZN271,2012,fruitless,Fruitless and Wasteful Expenditure,5815000,357
KZN272,2012,unauthorised,Unauthorised Expenditure,1285000,358
KZN272,2012,irregular,Irregular Expenditure,46541000,359
KZN272,2012,fruitless,Fruitless and Wasteful Expenditure,0,360
KZN273,2012,unauthorised,Unauthorised Expenditure,5057000,361
KZN273,2012,irregular,Irregular Expenditure,852000,362
KZN273,2012,fruitless,Fruitless and Wasteful Expenditure,110000,363
KZN274,2012,unauthorised,Unauthorised Expenditure,2524000,364
KZN274,2012,irregular,Irregular Expenditure,18309000,365
KZN274,2012,fruitless,Fruitless and Wasteful Expenditure,266000,366
KZN275,2012,unauthorised,Unauthorised Expenditure,0,367
KZN275,2012,irregular,Irregular Expenditure,15270000,368
KZN275,2012,fruitless,Fruitless and Wasteful Expenditure,487000,369
DC27,2012,unauthorised,Unauthorised Expenditure,30226000,370
DC27,2012,irregular,Irregular Expenditure,31149000,371
DC27,2012,fruitless,Fruitless and Wasteful Expenditure,1314000,372
KZN281,2012,unauthorised,Unauthorised Expenditure,4735000,373
KZN281,2012,irregular,Irregular Expenditure,0,374
KZN281,2012,fruitless,Fruitless and Wasteful Expenditure,1891000,375
KZN282,2012,unauthorised,Unauthorised Expenditure,0,376
KZN282,2012,irregular,Irregular Expenditure,0,377
KZN282,2012,fruitless,Fruitless and Wasteful Expenditure,0,378
KZN283,2012,unauthorised,Unauthorised Expenditure,0,379
